owner,study,year,trt_n,date,cum_rate_n_kgha
rosen lab,blcmr,1991,n.7,1991-05-04,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-04,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-04,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-05,0
rosen lab,blcmr,1991,n.10,1991-05-05,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-05,0
rosen lab,blcmr,1991,n.3,1991-05-05,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-05,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-05,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-05,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-05,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-05,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-05,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-06,0
rosen lab,blcmr,1991,n.10,1991-05-06,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-06,0
rosen lab,blcmr,1991,n.3,1991-05-06,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-06,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-06,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-06,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-06,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-06,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-06,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-07,0
rosen lab,blcmr,1991,n.10,1991-05-07,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-07,0
rosen lab,blcmr,1991,n.3,1991-05-07,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-07,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-07,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-07,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-07,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-07,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-07,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-08,0
rosen lab,blcmr,1991,n.10,1991-05-08,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-08,0
rosen lab,blcmr,1991,n.3,1991-05-08,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-08,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-08,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-08,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-08,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-08,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-08,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-09,0
rosen lab,blcmr,1991,n.10,1991-05-09,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-09,0
rosen lab,blcmr,1991,n.3,1991-05-09,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-09,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-09,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-09,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-09,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-09,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-09,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-10,0
rosen lab,blcmr,1991,n.10,1991-05-10,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-10,0
rosen lab,blcmr,1991,n.3,1991-05-10,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-10,89.6679400819401
